USERR_ID,EVENT_ID,NAME,DOMAIN,DATE,STARTTIME,ENDTIME,LOCATION,TRAINER,CAPACITY,REGISTERED,RESOURCE_LINK,DESCRIPTION,ID,FIRST_NAME,LAST_NAME,EMAIL,GENDER,DESIGNATION,EXPERIENCE,React,Javascript,Node,Python,Machine_Learning,NoSQL,ETL,Data_Warehouse,Big_Data,HTML,SQL
84,15,Advanced Data Engineering Techniques Seminar,data-engineering,17-10-2023,17:35:00,07:17:00,aurum,Dermot Matteoni,50,0,https://drive.google.com/file/d/16FgMGtttyemBPRHLl1JLkwh6P2WBgOSw/view?usp=sharing,description,84,Adel,Schenkel,aschenkel2b@ustream.tv,Female,intern,7,True,True,True,False,False,True,True,False,True,True,True
19,21,Full Stack Webinar Series: Frontend to Backend,full-stack,23-07-2023,18:33:00,02:24:00,falcon,Benjamen Pass,40,0,https://drive.google.com/file/d/16FgMGtttyemBPRHLl1JLkwh6P2WBgOSw/view?usp=sharing,description,19,Kiley,Cafe,kcafei@un.org,Male,intern,10,True,True,False,False,False,True,False,True,True,True,False
68,27,Data Science Summit: Cutting-Edge Research,data-science,29-09-2023,21:09:00,02:19:00,tardis,Anica Skeemor,40,0,https://drive.google.com/file/d/16FgMGtttyemBPRHLl1JLkwh6P2WBgOSw/view?usp=sharing,description,68,Cletis,Privett,cprivett1v@ft.com,Male,consultant,1,False,False,False,False,False,True,True,True,True,False,False
68,16,Data Analytics for Business Professionals,data-analytics,24-05-2024,14:48:00,01:59:00,jarvis,Cordey Panton,50,0,https://drive.google.com/file/d/16FgMGtttyemBPRHLl1JLkwh6P2WBgOSw/view?usp=sharing,description,68,Cletis,Privett,cprivett1v@ft.com,Male,consultant,1,False,False,False,False,False,True,True,True,True,False,False
88,4,Full Stack Development Bootcamp,full-stack,04-07-2023,19:09:00,03:37:00,aurum,Selma Eathorne,50,0,https://drive.google.com/file/d/16FgMGtttyemBPRHLl1JLkwh6P2WBgOSw/view?usp=sharing,description,88,Isador,Chillcot,ichillcot2f@amazon.de,Female,consultant,0,False,True,True,True,False,False,True,True,True,True,True
52,6,Databases Conference & Expo,database,04-04-2024,14:51:00,00:41:00,tardis,Kathryn Monckton,50,0,https://drive.google.com/file/d/16FgMGtttyemBPRHLl1JLkwh6P2WBgOSw/view?usp=sharing,description,52,Rozele,Kennifick,rkennifick1f@wikia.com,Male,consultant,7,False,False,True,True,True,False,False,False,True,False,True
53,7,Full Stack Tech Talks: Cutting-Edge Technologies,full-stack,09-04-2023,20:21:00,03:59:00,falcon,Huberto Binding,50,0,https://drive.google.com/file/d/16FgMGtttyemBPRHLl1JLkwh6P2WBgOSw/view?usp=sharing,description,53,Mehetabel,Giocannoni,mgiocannoni1g@cdbaby.com,Male,junior software engineer,5,False,True,True,True,True,False,False,False,False,True,True
64,14,Databases Seminar: NoSQL Fundamentals and Beyond,database,19-02-2024,11:55:00,06:40:00,aurum,Arni Albrighton,50,0,https://drive.google.com/file/d/16FgMGtttyemBPRHLl1JLkwh6P2WBgOSw/view?usp=sharing,description,64,Doralin,Stranahan,dstranahan1r@alibaba.com,Male,intern,4,True,False,True,False,False,True,False,True,False,True,False
58,27,Data Science Summit: Cutting-Edge Research,data-science,29-09-2023,21:09:00,02:19:00,tardis,Anica Skeemor,40,0,https://drive.google.com/file/d/16FgMGtttyemBPRHLl1JLkwh6P2WBgOSw/view?usp=sharing,description,58,Lemmy,Magnar,lmagnar1l@bluehost.com,Male,intern,5,True,False,True,True,False,True,True,False,False,True,True
10,27,Data Science Summit: Cutting-Edge Research,data-science,29-09-2023,21:09:00,02:19:00,tardis,Anica Skeemor,40,0,https://drive.google.com/file/d/16FgMGtttyemBPRHLl1JLkwh6P2WBgOSw/view?usp=sharing,description,10,Barbaraanne,Engall,bengall9@prnewswire.com,Male,tribe master,6,True,False,False,True,True,True,True,False,True,False,True
95,22,Full Stack Showcase: Projects and Portfolios,full-stack,18-07-2023,18:34:00,06:13:00,tardis,Catharine Montier,40,0,https://drive.google.com/file/d/16FgMGtttyemBPRHLl1JLkwh6P2WBgOSw/view?usp=sharing,description,95,Orelie,Ailward,oailward2m@google.pl,Female,tribe master,6,True,True,False,True,False,False,False,False,False,True,False
62,28,Data Analytics Challenge: Solving Real-World Problems,data-analytics,13-04-2023,19:36:00,08:09:00,falcon,Carson Bohin,40,0,https://drive.google.com/file/d/16FgMGtttyemBPRHLl1JLkwh6P2WBgOSw/view?usp=sharing,description,62,Myles,Corris,mcorris1p@nydailynews.com,Female,intern,9,False,False,False,True,False,False,True,False,True,True,False
100,20,Databases Workshop: Mastering SQL,database,06-08-2023,19:41:00,03:01:00,jarvis,Latia Keer,40,0,https://drive.google.com/file/d/16FgMGtttyemBPRHLl1JLkwh6P2WBgOSw/view?usp=sharing,description,100,Ailina,Easterfield,aeasterfield2r@bloomberg.com,Male,tribe master,1,False,False,False,True,True,True,True,False,True,False,True
79,20,Databases Workshop: Mastering SQL,database,06-08-2023,19:41:00,03:01:00,jarvis,Latia Keer,40,0,https://drive.google.com/file/d/16FgMGtttyemBPRHLl1JLkwh6P2WBgOSw/view?usp=sharing,description,79,Bobbye,Lopes,blopes26@diigo.com,Male,consultant,7,True,True,False,True,False,True,True,True,True,False,False
58,16,Data Analytics for Business Professionals,data-analytics,24-05-2024,14:48:00,01:59:00,jarvis,Cordey Panton,50,0,https://drive.google.com/file/d/16FgMGtttyemBPRHLl1JLkwh6P2WBgOSw/view?usp=sharing,description,58,Lemmy,Magnar,lmagnar1l@bluehost.com,Male,intern,5,True,False,True,True,False,True,True,False,False,True,True
29,20,Databases Workshop: Mastering SQL,database,06-08-2023,19:41:00,03:01:00,jarvis,Latia Keer,40,0,https://drive.google.com/file/d/16FgMGtttyemBPRHLl1JLkwh6P2WBgOSw/view?usp=sharing,description,29,Juliana,Le Houx,jlehouxs@state.tx.us,Female,senior software engineer,10,False,True,False,True,False,True,False,False,True,False,True
89,17,Data Science Meetup: Exploring AI Trends,data-science,27-03-2024,11:12:00,04:01:00,oasis,Loni Caro,50,0,https://drive.google.com/file/d/16FgMGtttyemBPRHLl1JLkwh6P2WBgOSw/view?usp=sharing,description,89,April,Cranton,acranton2g@google.fr,Male,consultant,5,False,True,False,False,True,True,False,True,False,True,True
